"지점","시작일","종료일","지점명","지점주소","관리관서","위도","경도","노장해발고도(m)","기압계(관측장비지상높이(m))","기온계(관측장비지상높이(m))","풍속계(관측장비지상높이(m))","강우계(관측장비지상높이(m))"
"136","1998-12-24 00:00:00","2015-12-20 00:00:00","안동","경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ","안동기상대(136)","36.5729","128.7073","140.1",\N,\N,"10",\N
"136","1973-01-01 00:00:00","1978-05-01 00:00:00","안동","경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ",\N,"36.573","128.7073","139.39","141.4","1.5","10","0.6"
"137","2002-01-01 00:00:00",\N,"상주","경상북도 상주시남산2길 322상주지역기상서비스센터  ","대구(구 143)","36.4084","128.1574","96.58","97.98","1.8","10","1.4"
"138","1943-01-01 00:00:00",\N,"포항","경상북도 포항시남구 송도로70 포항관측소 ","포항기상대(138)","36.032","129.38","3.94","4.92","1.6","10","1.2"
"140","2007-01-01 00:00:00",\N,"군산","전북특별자치도 군산시 거척길 3-60군산기상대 (내흥동)","전주기상대(146)","36.0053","126.7614","23.2",\N,\N,\N,\N
"140","2003-12-31 00:00:00",\N,"군산","전북특별자치도 군산시 거척길 3-60군산기상대 (내흥동)","전주기상대(146)","36.0053","126.7614","27.85","24.6","1.7","10","1"
"140","1968-01-01 00:00:00","2003-12-01 00:00:00","군산","전북특별자치도 군산시 거척길 3-60군산기상대 (내흥동)",\N,"35.993","126.7057","25.57","30.74","1.5","18","0.6"
"143","2007-01-31 00:00:00",\N,"대구","대구광역시 동구 효동로2길 10대구지방기상청 (효목동)","대구(구 143)","35.8852","128.619","64.08",\N,\N,\N,\N
"143","2017-08-25 00:00:00",\N,"대구","대구광역시 동구 효동로2길 10대구지방기상청 (효목동)","대구(구 143)","35.878","128.653","54.27","55.52","1.8","10","0.6"
"143","1907-01-31 00:00:00","2017-08-25 00:00:00","대구","대구광역시 동구 효동로2길 10대구지방기상청 (효목동)","대구(구 143)","35.8282","128.6522","53.4","54.9","1.8","10","0.6"
"144","1993-03-16 00:00:00","2011-12-09 00:00:00","군산(레)",\N,"군산기상대(140)","36.0123","126.7834","198.61",\N,\N,\N,\N
"144","2003-03-21 00:00:00","2006-12-27 00:00:00","오성산",\N,\N,"36.0127","126.7839","227.41",\N,\N,\N,\N
"146","2015-07-01 00:00:00",\N,"전주","전북특별자치도 전주시덕진구 상가마을길25 전주기상지청 ","전주기상대(146)","35.8409","127.1172","60.44","62.9","1.6","10","1.4"
"146","2008-04-28 00:00:00",\N,"전주","전북특별자치도 전주시덕진구 상가마을길25 전주기상지청 ","전주기상대(146)","35.8215","127.155","53.4",\N,\N,\N,\N
